Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
128,64,wormhole_b0,riscv_1,186368,L1,unicast,all_from_all,True,False,False,64,1,4107.0,1.9946462482949383
256,64,wormhole_b0,riscv_1,187392,L1,unicast,all_from_all,True,False,False,64,1,11718.0,1.3981922838442087
512,64,wormhole_b0,riscv_1,188416,L1,unicast,all_from_all,True,False,False,64,1,19949.0,1.6425886050598724
1024,64,wormhole_b0,riscv_1,189440,L1,unicast,all_from_all,True,False,False,64,1,54485.0,1.2028264805863325
2048,64,wormhole_b0,riscv_1,190464,L1,unicast,all_from_all,True,False,False,64,1,99489.0,1.317494221467021
4096,64,wormhole_b0,riscv_1,191488,L1,unicast,all_from_all,True,False,False,64,1,218247.5,1.2011317726460884
8192,64,wormhole_b0,riscv_1,192512,L1,unicast,all_from_all,True,False,False,64,1,435829.0,1.2029691695741653
16384,64,wormhole_b0,riscv_1,193536,L1,unicast,all_from_all,True,False,False,64,1,1103550.5,0.9502151840873281
32768,64,wormhole_b0,riscv_1,194560,L1,unicast,all_from_all,True,False,False,64,1,2227960.5,0.9414237538616761
65536,64,wormhole_b0,riscv_1,195584,L1,unicast,all_from_all,True,False,False,64,1,4161981.5,1.0077797205061154
32,256,wormhole_b0,riscv_1,196608,L1,unicast,all_from_all,True,False,False,64,1,9002.5,0.9099694781926349
64,256,wormhole_b0,riscv_1,197632,L1,unicast,all_from_all,True,False,False,64,1,15599.0,1.0503240149559483
128,256,wormhole_b0,riscv_1,198656,L1,unicast,all_from_all,True,False,False,64,1,35781.5,0.9158003306162312
256,256,wormhole_b0,riscv_1,199680,L1,unicast,all_from_all,True,False,False,64,1,72900.0,0.8990322511970674
512,256,wormhole_b0,riscv_1,200704,L1,unicast,all_from_all,True,False,False,64,1,138861.5,0.9461021503134026
1024,256,wormhole_b0,riscv_1,201728,L1,unicast,all_from_all,True,False,False,64,1,248748.0,1.0538656314283674
2048,256,wormhole_b0,riscv_1,202752,L1,unicast,all_from_all,True,False,False,64,1,563431.0,0.9305513222899789
4096,256,wormhole_b0,riscv_1,203776,L1,unicast,all_from_all,True,False,False,64,1,1120196.5,0.9363651410720265
8192,256,wormhole_b0,riscv_1,204800,L1,unicast,all_from_all,True,False,False,64,1,2192021.5,0.9567213753963171
16384,256,wormhole_b0,riscv_1,205824,L1,unicast,all_from_all,True,False,False,64,1,4036695.0,1.0390454624965124
32768,256,wormhole_b0,riscv_1,206848,L1,unicast,all_from_all,True,False,False,64,1,7921538.5,1.0590006189032113
65536,256,wormhole_b0,riscv_1,207872,L1,unicast,all_from_all,True,False,False,64,1,13733169.5,1.2216568318099865
32,1024,wormhole_b0,riscv_1,208896,L1,unicast,all_from_all,True,False,False,64,1,30212.5,1.0846151871267278
64,1024,wormhole_b0,riscv_1,209920,L1,unicast,all_from_all,True,False,False,64,1,39447.0,1.66180448584708
128,1024,wormhole_b0,riscv_1,210944,L1,unicast,all_from_all,True,False,False,64,1,86907.5,1.5086565760222994
256,1024,wormhole_b0,riscv_1,211968,L1,unicast,all_from_all,True,False,False,64,1,179663.0,1.4591142317651191
512,1024,wormhole_b0,riscv_1,212992,L1,unicast,all_from_all,True,False,False,64,1,417035.0,1.2571825251577904
1024,1024,wormhole_b0,riscv_1,214016,L1,unicast,all_from_all,True,False,False,64,1,947601.0,1.106788824844117
2048,1024,wormhole_b0,riscv_1,215040,L1,unicast,all_from_all,True,False,False,64,1,1972183.5,1.063366096343703
4096,1024,wormhole_b0,riscv_1,216064,L1,unicast,all_from_all,True,False,False,64,1,3478143.0,1.2060558354309343
8192,1024,wormhole_b0,riscv_1,217088,L1,unicast,all_from_all,True,False,False,64,1,8254982.0,1.016187322110671
16384,1024,wormhole_b0,riscv_1,218112,L1,unicast,all_from_all,True,False,False,64,1,13151947.0,1.275649602893163
32768,1024,wormhole_b0,riscv_1,219136,L1,unicast,all_from_all,True,False,False,64,1,24631799.0,1.3623166021064455
65536,1024,wormhole_b0,riscv_1,220160,L1,unicast,all_from_all,True,False,False,64,1,41314521.0,1.624342980120833
32,4096,wormhole_b0,riscv_1,221184,L1,unicast,all_from_all,True,False,False,64,1,130485.0,1.0046453435571663
64,4096,wormhole_b0,riscv_1,222208,L1,unicast,all_from_all,True,False,False,64,1,187640.5,1.3971014019827774
128,4096,wormhole_b0,riscv_1,223232,L1,unicast,all_from_all,True,False,False,64,1,327414.5,1.6013976847694509
256,4096,wormhole_b0,riscv_1,224256,L1,unicast,all_from_all,True,False,False,64,1,675143.0,1.553123040864675
512,4096,wormhole_b0,riscv_1,225280,L1,unicast,all_from_all,True,False,False,64,1,1300716.5,1.6123056463615788
1024,4096,wormhole_b0,riscv_1,226304,L1,unicast,all_from_all,True,False,False,64,1,2617049.5,1.6032095361012169
2048,4096,wormhole_b0,riscv_1,227328,L1,unicast,all_from_all,True,False,False,64,1,5353634.0,1.5669556213600502
4096,4096,wormhole_b0,riscv_1,228352,L1,unicast,all_from_all,True,False,False,64,1,13328843.5,1.2587381518711953
8192,4096,wormhole_b0,riscv_1,229376,L1,unicast,all_from_all,True,False,False,64,1,26576648.5,1.262555527745297
16384,4096,wormhole_b0,riscv_1,230400,L1,unicast,all_from_all,True,False,False,64,1,39515545.0,1.6982931825290737
32768,4096,wormhole_b0,riscv_1,231424,L1,unicast,all_from_all,True,False,False,64,1,57059770.0,2.352550542094297
65536,4096,wormhole_b0,riscv_1,232448,L1,unicast,all_from_all,True,False,False,64,1,108958878.5,2.4641234916655677
32,16384,wormhole_b0,riscv_1,233472,L1,unicast,all_from_all,True,False,False,64,1,633822.0,0.8271889551932059
64,16384,wormhole_b0,riscv_1,234496,L1,unicast,all_from_all,True,False,False,64,1,653805.0,1.6040159837157137
