Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,197632,2x2,4x4,4,4096,7876.0,0.5200609446419502
128,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,198656,2x2,4x4,4,8192,7862.0,1.0419740524039685
256,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,199680,2x2,4x4,4,16384,7974.0,2.054677702533233
512,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,200704,2x2,4x4,4,32768,10248.0,3.1975019516003123
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,201728,2x2,4x4,4,65536,17041.0,3.8457836981397806
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,202752,2x2,4x4,4,131072,36924.0,3.549777922218611
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,203776,2x2,4x4,4,262144,69170.0,3.789851091513662
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,204800,2x2,4x4,4,524288,125428.0,4.179991708390471
16384,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,205824,2x2,4x4,4,1048576,300643.0,3.4877778627807734
32768,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,206848,2x2,4x4,4,2097152,664387.0,3.156521726042201
65536,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,207872,2x2,4x4,4,4194304,1326805.0,3.161206055147516
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,208896,2x2,4x4,4,32768,120559.0,0.2718005292014698
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,209920,2x2,4x4,4,65536,120733.0,0.5428176223567708
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,210944,2x2,4x4,4,131072,120716.0,1.085788130819444
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,211968,2x2,4x4,4,262144,122513.0,2.139723947662697
